,route_name,route_direction_id,stop_id,stop_name,boardings,alightings,total_b_a,geometry
0,22,238750,60001,Santa Clara Transit Center,152.88002234693408,110.8522497110732,263.73227205800725,POINT (6144099.62758 1954225.5200159)
1,60,239040,60008,San Jose Airport Terminal A,106.41027820218996,97.18365735571619,203.59393555790604,POINT (6146822.45087449 1959780.7825274)
2,60,239041,60011,San Jose Airport Terminal B,101.89522928052335,69.91789248333367,171.81312176385705,POINT (6148114.70649208 1958314.71065639)
3,60,239041,60014,1st & Metro @ Metro Station,99.06068620921565,57.99546564546564,157.05615185468125,POINT (6150233.01229483 1960218.74228139)
4,22,238750,60020,El Camino & Lafayette,40.89098589319178,57.43808699470464,98.32907288789644,POINT (6141651.00288408 1954992.24617273)
4,60,238750,60020,El Camino & Lafayette,40.89098589319178,57.43808699470464,98.32907288789644,POINT (6141651.00288408 1954992.24617273)
10,22,238750,60035,King & Alum Rock,149.6079740520917,157.93623590461826,307.5442099567101,POINT (6167727.93202934 1953654.17929506)
11,22,238750,60036,King & San Antonio,36.41845597213243,38.469836536013005,74.88829250814545,POINT (6168552.89461824 1952565.84026439)
12,22,238750,60037,King & Hermocilla,31.495157456922158,45.19827256077254,76.69343001769472,POINT (6169311.51383591 1951509.07203673)
13,22,238750,60038,King & Virginia,42.71691592721005,39.129301907243104,81.84621783445313,POINT (6169685.78277241 1951032.84103382)
14,22,238750,60039,King & Chaucer,7.6658749746985055,55.93615698027465,63.602031954973164,POINT (6170520.0294635 1949891.63006164)
15,22,238750,60040,King & Story,238.76370598355896,288.76921322141914,527.5329192049778,POINT (6171451.19098699 1948671.12922181)
16,22,238750,60041,King & Christopher,14.65468967307202,32.62560495060496,47.280294623676994,POINT (6172153.21582967 1947748.16715698)
17,22,238750,60042,King & Miami,14.260536032594851,40.486832856685794,54.74736888928064,POINT (6173065.8275215 1946541.82704999)
18,22,238750,60043,King & Havana,32.23416599740129,92.4745754245754,124.70874142197668,POINT (6173718.85771149 1945682.60337473)
19,22,238750,60044,King & Cunningham,34.016051921934285,85.34431279504811,119.36036471698233,POINT (6174381.73663507 1944817.79375264)
20,22,238750,60045,King & Waverly,12.776400396988633,73.79196685667273,86.56836725366134,POINT (6175216.58568716 1943732.43798374)
21,22,238750,60046,King & Seminole,14.793383087500736,107.29635519709048,122.08973828459119,POINT (6175719.71525833 1943079.67649397)
22,22,238750,60047,Tully & King,21.700355496756423,147.82020360530421,169.5205591020606,POINT (6176321.56280792 1942660.39682072)
23,22,238750,60048,Tully & Brahms,6.545140725287782,43.09321323241604,49.63835395770383,POINT (6177169.52272616 1943357.01681857)
24,22,238750,60049,Tully & Quimby,14.747801390216257,67.96769039783744,82.71549178805371,POINT (6177953.14681508 1944010.50960606)
25,22,238750,60050,Tully & Eastridge Way,0.7307692307692306,8.52773200741467,9.258501238183902,POINT (6178588.27776267 1944529.19787315)
26,22,238751,60053,Tully & Quimby,81.85968198468194,16.38665419547773,98.2463361801597,POINT (6177605.19541125 1943875.58927223)
27,22,238751,60054,Tully & Kenesta,47.248469177880956,11.440446318387501,58.68891549626843,POINT (6176925.70858125 1943307.29907022)
28,22,238751,60055,King & Tully,175.0758443354032,17.758625688037448,192.83447002344053,POINT (6176051.84549958 1942753.43206772)
29,22,238751,60056,King & Seminole,8.48444855797797,2.665618939883645,11.150067497861617,POINT (6175628.58125424 1943297.26857848)
30,22,238751,60057,King & Cunningham,105.23089533016004,33.646017462929215,138.87691279308925,POINT (6174527.10379842 1944734.15743698)
31,22,238751,60058,King & Ocala,97.5870973797444,28.672715274921156,126.25981265466558,POINT (6173760.78873 1945727.5232324)
32,22,238751,60059,King & Biscayne,52.95605505605508,15.102580670963022,68.0586357270181,POINT (6172900.09589759 1946867.91596472)
33,22,238751,60060,King & Everglade,28.80308310970075,16.460309869868695,45.26339297956948,POINT (6171993.74698849 1948063.61206415)
34,22,238751,60061,King & Story,191.82937919923214,53.91276819585644,245.74214739508864,POINT (6170984.30904675 1949424.31964456)
35,22,238751,60063,King & Virginia,44.15400636944758,45.694812540400775,89.84881890984832,POINT (6169795.79436341 1951000.6681979)
36,22,238751,60064,King & Kammerer,49.921213916802145,27.24025296598826,77.16146688279038,POINT (6169252.40306175 1951704.01226364)
37,22,238751,60065,King & San Antonio,39.93575036075036,51.8649602031955,91.80071056394586,POINT (6168449.96831492 1952846.26063532)
137,22,238750,60328,Palo Alto Transit Center (Bay 10),733.9948585727998,0.2380952380952384,734.176676754618,POINT (6078107.96035099 1988346.45439856)
137,522,238750,60328,Palo Alto Transit Center (Bay 10),733.9948585727998,0.2380952380952384,734.176676754618,POINT (6078107.96035099 1988346.45439856)
138,22,238750,60329,El Camino & Palm,12.793263517528223,3.426026751026751,16.21929026855498,POINT (6079055.87151292 1986640.97191715)
139,22,238750,60330,El Camino & Galvez,66.45979102596746,7.4282283892578,73.88801941522533,POINT (6079788.22634742 1985807.8761424)
139,522,238750,60330,El Camino & Galvez,66.45979102596746,7.4282283892578,73.88801941522533,POINT (6079788.22634742 1985807.8761424)
140,22,238750,60331,El Camino & Sam McDonald,4.579659882601059,0.2625,4.8421598826010595,POINT (6080518.11694799 1984980.67143197)
141,22,238750,60332,El Camino & Churchill,4.251791101055807,1.0556489262371618,5.307440027292967,POINT (6081284.45957541 1984093.84840249)
142,22,238750,60333,El Camino & Serra,14.807890557155256,3.132273690361927,17.94016424751717,POINT (6082149.76788417 1983118.26636414)
143,22,238750,60334,El Camino & Oxford,6.582965727083374,8.09194220811868,14.674907935202054,POINT (6083068.09708424 1982066.03356048)
144,22,238750,60335,El Camino & California,104.72777900204368,45.388473209796736,150.11625221184042,POINT (6083824.35869507 1981339.69413389)
144,522,238750,60335,El Camino & California,104.72777900204368,45.388473209796736,150.11625221184042,POINT (6083824.35869507 1981339.69413389)
145,22,238640,60336,El Camino & Page Mill,71.98633047279519,18.622602534067234,90.60863300686248,POINT (6085022.45013091 1980516.03895706)
145,522,238640,60336,El Camino & Page Mill,71.98633047279519,18.622602534067234,90.60863300686248,POINT (6085022.45013091 1980516.03895706)
146,22,238750,60337,El Camino & Hansen,19.66011594614536,5.938856405032873,25.598972351178233,POINT (6086134.1431175 1979763.50437289)
147,22,238750,60338,El Camino & Matadero,13.394566462948818,11.32767893870835,24.72224540165715,POINT (6087064.91619033 1979142.36060207)
148,22,238750,60339,El Camino & Barron,18.257159996865877,17.555385872297638,35.81254586916349,POINT (6087694.06945957 1978711.50221181)
149,22,238750,60340,El Camino & Los Robles,20.75738722062251,13.965986382898148,34.72337360352065,POINT (6088605.43377858 1978089.29413864)
150,22,238750,60341,El Camino & Vista,16.23884114251761,11.142951329716034,27.381792472233638,POINT (6089308.15218942 1977359.31069048)
151,22,238750,60342,El Camino & Maybell,12.098414167531812,11.750090432443372,23.848504599975172,POINT (6089784.94716758 1976597.58025856)
152,22,238750,60343,El Camino & Arastradero,66.26076929606343,36.60595572727924,102.86672502334268,POINT (6090330.29056507 1975716.68208598)
152,522,238750,60343,El Camino & Arastradero,66.26076929606343,36.60595572727924,102.86672502334268,POINT (6090330.29056507 1975716.68208598)
153,22,238750,60344,El Camino & Dinah's Court,7.882565473741944,6.466390227419639,14.34895570116158,POINT (6091084.04069799 1974505.17105757)
154,22,238750,60345,El Camino & Los Altos,17.304406214700336,12.014651769798824,29.319057984499157,POINT (6091730.27234517 1973724.88488849)
155,22,238750,60346,El Camino & San Antonio,51.53281767252355,120.62063492063496,172.15345259315845,POINT (6093073.72405457 1972486.49071173)
156,22,238750,60347,El Camino & Showers,328.27674041644633,179.51026032790733,507.7870007443535,POINT (6093922.88508591 1971893.94432464)
156,522,238750,60347,El Camino & Showers,328.27674041644633,179.51026032790733,507.7870007443535,POINT (6093922.88508591 1971893.94432464)
157,22,238750,60348,El Camino & Jordan,7.810090399796279,4.870328690916927,12.680419090713205,POINT (6094639.037525 1971471.58722973)
158,22,238750,60350,El Camino & Rengstorff,18.330620196796662,13.487294160088275,31.817914356884945,POINT (6095560.78240067 1970940.11749214)
