,counter_id,adt,main_road,counter_location,cross_road,nearby_intersect,geometry,index_right,route_id,route_name,route_desc,category,route_length,object_id
4,4450,14432.0,AIRPORT BLVD,S of,SKYPORT DR,AIRPORT BLVD & SKYPORT DR,POINT (6148939.75897583 1958001.95603256),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
11,4457,8385.0,ALMADEN AVE,N of,WILLOW ST,ALMADEN AVE & WILLOW ST,POINT (6159716.96708016 1941603.89270015),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
23,4469,848.0,BLEWETT AVE,S of,WILLOW ST,BLEWETT AVE & WILLOW ST,POINT (6154536.48826791 1937960.99808306),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
24,4470,936.0,BLEWETTE AVE,S of,WILLOW ST,BLEWETTE AVE & WILLOW ST,POINT (6154536.48826791 1937960.99808306),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
28,4474,45690.0,BROKAW RD,E of,OAKLAND RD,BROKAW RD&OAKLAND RD,POINT (6156171.61984016 1964851.78419639),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
29,4475,49988.0,BROKAW RD,E of,RIDDER PARK DR,BROKAW RD & RIDDER PARK DR,POINT (6154785.5688065 1964731.86252023),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
30,4476,31226.0,BROKAW RD,W of,ZANKER RD,BROKAW RD & ZANKER RD,POINT (6151031.255449 1962941.4021904),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
52,4498,536.0,CURTIS AVE,S of,WILLOW ST,CURTIS AVE & WILLOW ST,POINT (6155362.30157691 1938418.90038247),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
89,4535,8306.0,JUNCTION AVE,S of,BROKAW RD,JUNCTION AVE & BROKAW RD,POINT (6152271.07219508 1963850.83442664),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
92,4538,699.0,KOTENBERG AVE,S of,WILLOW ST,KOTENBERG AVE & WILLOW ST,POINT (6155052.72214358 1938244.50342156),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
