X,Y,routes,linedirid,rtid,stopname,objectid
6144099.62758,1954225.5200159,22,238750,60001,Santa Clara Transit Center,1
6146822.45087449,1959780.7825274,"60, 60",239040,60008,San Jose Airport Terminal A,2
6148114.70649208,1958314.71065639,60,239041,60011,San Jose Airport Terminal B,3
6150233.01229483,1960218.74228139,60,239041,60014,1st & Metro @ Metro Station,4
6141651.00288408,1954992.24617273,"22, 59, 60",238750,60020,El Camino & Lafayette,5
6154102.63906999,1953499.89515482,"61, 61",239050,60021,1st & Mission,6
6156965.991611,1955996.68149981,66,239080,60028,Hedding & 11th,7
6163802.89230725,1958736.84727931,77,239191,60032,King & Mabury,8
6165010.13267492,1957196.36643639,77,239191,60033,King & Las Plumas,9
6166236.70600916,1955596.66917647,77,239191,60034,King & McKee,10
6167727.93202934,1953654.17929506,"22, 77",238750,60035,King & Alum Rock,11
6168552.89461824,1952565.84026439,"22, 77",238750,60036,King & San Antonio,12
6169311.51383591,1951509.07203673,"22, 77",238750,60037,King & Hermocilla,13
6169685.78277241,1951032.84103382,"22, 77",238750,60038,King & Virginia,14
6170520.0294635,1949891.63006164,"22, 77",238750,60039,King & Chaucer,15
6171451.19098699,1948671.12922181,"22, 77",238750,60040,King & Story,16
6172153.21582967,1947748.16715698,"22, 77",238750,60041,King & Christopher,17
6173065.8275215,1946541.82704999,"22, 77",238750,60042,King & Miami,18
6173718.85771149,1945682.60337473,"22, 77",238750,60043,King & Havana,19
6174381.73663507,1944817.79375264,"22, 77",238750,60044,King & Cunningham,20
6175216.58568716,1943732.43798374,"22, 77",238750,60045,King & Waverly,21
6175719.71525833,1943079.67649397,"22, 77",238750,60046,King & Seminole,22
6176321.56280792,1942660.39682072,"22, 26",238750,60047,Tully & King,23
6177169.52272616,1943357.01681857,"22, 26",238750,60048,Tully & Brahms,24
6177953.14681508,1944010.50960606,"22, 26",238750,60049,Tully & Quimby,25
6178588.27776267,1944529.19787315,"22, 26",238750,60050,Tully & Eastridge Way,26
6177605.19541125,1943875.58927223,"22, 26",238751,60053,Tully & Quimby,27
6176925.70858125,1943307.29907022,"22, 26",238751,60054,Tully & Kenesta,28
6176051.84549958,1942753.43206772,"22, 77",238751,60055,King & Tully,29
6175628.58125424,1943297.26857848,"22, 77",238751,60056,King & Seminole,30
6174527.10379842,1944734.15743698,"22, 77",238751,60057,King & Cunningham,31
6173760.78873,1945727.5232324,"22, 77",238751,60058,King & Ocala,32
6172900.09589759,1946867.91596472,"22, 77",238751,60059,King & Biscayne,33
6171993.74698849,1948063.61206415,"22, 77",238751,60060,King & Everglade,34
6170984.30904675,1949424.31964456,"22, 77",238751,60061,King & Story,35
6169795.79436341,1951000.6681979,"22, 77",238751,60063,King & Virginia,36
6169252.40306175,1951704.01226364,"22, 77",238751,60064,King & Kammerer,37
6168449.96831492,1952846.26063532,"22, 77",238751,60065,King & San Antonio,38
6167615.68651891,1953932.55308214,77,239190,60066,King & Alum Rock,39
6166546.34351325,1955301.21930806,77,239190,60067,King & McKee,40
6164877.00236374,1957474.69297948,77,239190,60068,King & Las Plumas,41
6156998.97874975,1956084.3135424,66,239081,60075,Hedding & 11th,42
6172557.79244833,1898065.31343889,83,239271,60088,Almaden & Mountain Shadow,43
6171475.67354958,1899165.19214465,83,239271,60089,Almaden & Viewpoint,44
6169544.65575808,1901766.64921206,"83, 83",239270,60098,Almaden & Via Valiente,45
6168691.34480067,1902779.96247415,83,239270,60099,Almaden & Shadowbrook,46
6167201.70571958,1904131.3268974,83,239270,60100,Almaden & Trinidad,47
6166356.64933883,1904879.50191022,83,239270,60101,Almaden & Mt. Royal,48
6161621.68932058,1913026.36356923,83,239270,60106,Almaden & Almaden Lake Park,49
6163884.25008416,1916168.17782365,0,239061,60108,Winfield & Blossom Hill,50
6163949.39726359,1917599.3944494,"0, 83",239061,60109,Winfield & Blossom River,51
6164774.37953749,1919400.78290698,"0, 83",239061,60110,Chynoweth & Winfield,52
6165608.70923366,1919210.57134515,"201, 83, 83",238710,60111,Ohlone-Chynoweth Station,53
6164815.45622699,1919483.20859514,"0, 83",239060,60112,Chynoweth & Pearl,54
6163863.17007384,1917594.8275294,"0, 83",239060,60113,Winfield & Blossom River,55
6163851.90959767,1916265.87579098,0,239060,60114,Winfield & Blossom Hill,56
6161396.93714541,1913501.95743431,83,239271,60115,Almaden & Coleman,57
6165199.94889633,1905821.22607665,"0, 0, 83",239070,60120,Almaden & Camden,58
6166374.99739924,1904719.01404223,83,239271,60121,Almaden & Crown,59
6167506.76711734,1903698.68307765,83,239271,60122,Almaden & Trinidad,60
6169887.5661615,1901632.44738072,83,239271,60123,Via Valiente & Almaden,61
6170309.16407157,1902292.40111332,83,239271,60124,Via Valiente & Bret Harte,62
