service_id,date,exception_type
285.0.1,20260525,2
285.0.2,20260704,2
285.0.3,20260525,1
285.0.3,20260704,1
285.100.1,20260525,2
285.102.1,20260525,2
285.103.1,20260429,2
285.103.1,20260501,2
285.103.1,20260504,2
285.103.1,20260506,2
285.103.1,20260508,2
285.103.1,20260511,2
285.103.1,20260513,2
285.103.1,20260515,2
285.103.1,20260518,2
285.103.1,20260520,2
285.103.1,20260522,2
285.103.1,20260525,2
285.103.1,20260527,2
285.103.1,20260529,2
285.109.1,20260428,2
285.109.1,20260430,2
285.109.1,20260505,2
285.109.1,20260507,2
285.109.1,20260512,2
285.109.1,20260514,2
285.109.1,20260519,2
285.109.1,20260521,2
285.109.1,20260525,2
285.109.1,20260526,2
285.109.1,20260528,2
285.120.1,20260430,2
285.120.1,20260501,2
285.120.1,20260504,2
285.120.1,20260505,2
285.120.1,20260507,2
285.120.1,20260508,2
285.120.1,20260511,2
285.120.1,20260512,2
285.120.1,20260514,2
285.120.1,20260515,2
285.120.1,20260518,2
285.120.1,20260519,2
285.120.1,20260521,2
285.120.1,20260522,2
285.120.1,20260525,2
285.120.1,20260526,2
285.120.1,20260528,2
285.120.1,20260529,2
285.120.1,20260601,2
285.120.1,20260602,2
285.122.1,20260501,2
285.122.1,20260506,2
285.122.1,20260508,2
285.122.1,20260513,2
285.122.1,20260515,2
285.122.1,20260520,2
285.122.1,20260522,2
285.122.1,20260525,2
285.122.1,20260527,2
285.122.1,20260529,2
285.131.1,20260427,1
285.131.1,20260428,1
285.131.1,20260429,1
285.131.1,20260430,1
285.131.1,20260501,1
285.131.1,20260504,1
285.131.1,20260505,1
285.131.1,20260506,1
285.131.1,20260507,1
285.131.1,20260508,1
285.131.1,20260511,1
285.131.1,20260512,1
285.131.1,20260513,1
285.131.1,20260514,1
285.131.1,20260515,1
285.131.1,20260518,1
285.131.1,20260519,1
285.131.1,20260520,1
285.131.1,20260521,1
285.131.1,20260522,1
285.131.1,20260526,1
285.131.1,20260527,1
285.131.1,20260528,1
285.131.1,20260529,1
285.131.1,20260806,1
285.131.1,20260807,1
285.150.1,20260501,2
285.150.1,20260511,2
285.150.1,20260525,2
285.152.1,20260427,1
285.152.1,20260501,2
285.1545.1,20260525,2
285.1566.1,20260501,2
285.1566.1,20260511,2
285.1566.1,20260525,2
285.157.1,20260427,1
285.157.1,20260501,2
285.159.1,20260525,2
285.161.1,20260615,1
285.161.1,20260616,1
285.161.1,20260622,1
285.161.1,20260623,1
285.161.1,20260629,1
285.161.1,20260630,1
285.161.1,20260706,1
285.161.1,20260707,1
285.161.1,20260507,2
285.161.1,20260514,2
285.161.1,20260521,2
285.161.1,20260528,2
285.161.1,20260603,2
285.161.1,20260604,2
285.161.1,20260605,2
285.161.1,20260619,2
285.161.1,20260703,2
285.171.1,20260525,2
285.173.1,20260525,2
285.177.1,20260504,2
285.177.1,20260511,2
285.177.1,20260518,2
285.177.1,20260525,2
285.178.1,20260525,2
285.181.1,20260429,2
285.181.1,20260501,2
285.181.1,20260506,2
285.181.1,20260508,2
285.181.1,20260513,2
285.181.1,20260515,2
285.181.1,20260520,2
285.181.1,20260522,2
285.181.1,20260525,2
285.181.1,20260527,2
285.181.1,20260529,2
285.182.1,20260603,1
285.182.1,20260428,2
285.182.1,20260525,2
285.1827.1,20260515,2
285.1827.1,20260522,2
285.1827.1,20260525,2
