service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
285.0.1,1,1,1,1,1,0,0,20260427,20260807
285.0.2,0,0,0,0,0,1,0,20260502,20260808
285.0.3,0,0,0,0,0,0,1,20260503,20260809
285.100.1,1,1,0,1,0,0,0,20260427,20260528
285.102.1,1,0,1,0,1,0,0,20260427,20260529
285.103.1,1,1,1,1,1,0,0,20260428,20260807
285.108.1,0,1,0,1,0,0,0,20260428,20260528
285.109.1,1,1,1,1,1,0,0,20260427,20260807
285.120.1,1,1,1,1,1,0,0,20260429,20260807
285.121.1,0,0,1,0,1,0,0,20260501,20260529
285.122.1,1,1,1,1,1,0,0,20260427,20260807
285.150.1,1,1,1,1,1,0,0,20260427,20260604
285.151.1,0,1,0,1,0,0,0,20260428,20260528
285.152.1,0,0,1,0,1,0,0,20260427,20260529
285.1545.1,1,1,0,1,0,0,0,20260427,20260528
285.1566.1,1,1,1,1,1,0,0,20260427,20260604
285.1567.1,1,1,1,1,0,0,0,20260427,20260514
285.157.1,0,0,1,0,1,0,0,20260427,20260529
285.159.1,1,1,1,1,1,0,0,20260427,20260603
285.160.1,1,1,1,1,1,0,0,20260604,20260807
285.161.1,0,0,1,1,1,0,0,20260501,20260709
285.171.1,1,1,1,1,1,0,0,20260427,20260603
285.173.1,1,1,0,1,0,0,0,20260427,20260528
285.176.1,1,0,0,0,0,0,0,20260427,20260518
285.177.1,1,1,1,1,1,0,0,20260428,20260807
285.178.1,1,1,1,1,1,0,0,20260427,20260603
285.180.1,0,0,1,0,1,0,0,20260429,20260529
285.181.1,1,1,1,1,1,0,0,20260427,20260807
285.182.1,1,1,0,1,0,0,0,20260427,20260603
285.1827.1,1,1,0,0,1,0,0,20260427,20260601
285.1828.1,0,0,0,1,0,0,0,20260430,20260528
285.1919.1,1,1,1,1,1,0,0,20260427,20260603
285.1921.1,1,1,1,1,1,0,0,20260428,20260807
285.1923.1,1,1,1,1,1,0,0,20260501,20260807
285.1924.1,1,1,1,1,1,0,0,20260604,20260807
285.2068.1,1,1,1,1,1,0,0,20260427,20260605
285.2069.1,1,1,1,1,1,0,0,20260427,20260605
285.2070.1,1,1,0,1,0,0,0,20260427,20260603
285.2071.1,1,0,0,0,0,0,0,20260427,20260601
285.2075.1,1,1,1,1,1,0,0,20260427,20260605
285.2082.1,1,1,1,1,1,0,0,20260427,20260601
285.2093.1,1,1,1,1,1,0,0,20260428,20260807
285.2152.1,0,0,1,0,1,0,0,20260429,20260529
285.2153.1,1,1,0,1,0,0,0,20260427,20260528
285.2179.1,1,1,1,1,1,0,0,20260608,20260807
285.2181.1,1,1,1,1,1,0,0,20260608,20260807
285.2321.1,1,1,1,1,1,0,0,20260608,20260807
285.2491.1,0,0,0,1,0,0,0,20260430,20260528
285.2561.1,0,0,1,0,0,0,0,20260429,20260527
285.2658.1,1,1,1,1,1,0,0,20260427,20260807
285.2658.2,0,0,0,0,0,1,0,20260502,20260808
285.2658.3,0,0,0,0,0,0,1,20260503,20260809
285.2969.1,1,1,1,1,1,0,0,20260427,20260807
285.2969.2,0,0,0,0,0,1,0,20260502,20260808
285.2969.3,0,0,0,0,0,0,1,20260503,20260809
285.2970.1,1,1,1,1,1,0,0,20260427,20260807
285.2970.2,0,0,0,0,0,1,0,20260502,20260808
285.2970.3,0,0,0,0,0,0,1,20260503,20260809
285.3190.1,1,1,1,1,1,0,0,20260526,20260805
285.327.1,1,1,1,1,1,0,0,20260427,20260605
285.380.1,1,1,1,1,1,0,0,20260615,20260723
285.41.1,1,1,1,1,0,0,0,20260427,20260806
285.42.1,0,0,0,0,1,0,0,20260501,20260807
285.57.1,0,1,0,1,0,0,0,20260428,20260528
285.58.1,1,1,1,1,1,0,0,20260427,20260807
285.59.1,0,0,1,0,1,0,0,20260429,20260529
285.62.1,0,0,1,0,1,0,0,20260429,20260529
285.64.1,1,1,1,1,1,0,0,20260427,20260605
285.65.1,1,1,1,1,1,0,0,20260608,20260807
285.66.1,0,0,1,0,0,0,0,20260429,20260527
285.67.1,1,1,1,1,1,0,0,20260427,20260807
285.745.1,1,0,0,0,0,0,0,20260504,20260518
285.746.1,1,0,0,0,0,0,0,20260504,20260518
285.76.1,1,1,0,1,1,0,0,20260427,20260602
285.79.1,0,1,0,1,0,0,0,20260430,20260528
285.80.1,1,1,0,1,0,0,0,20260427,20260603
285.87.1,0,0,1,0,1,0,0,20260501,20260529
285.88.1,1,1,1,1,1,0,0,20260427,20260807
285.897.1,0,0,1,0,1,0,0,20260501,20260529
285.901.1,1,1,1,1,1,0,0,20260427,20260807
285.96.1,0,1,0,1,0,0,0,20260428,20260528
285.98.1,0,0,1,0,1,0,0,20260429,20260529
